source_id,source_name,action,target,reason
0,warning--traffic-merges-right--g1,train,warning--traffic-merges-right,Merge only equivalent source meanings and visual variants.
1,warning--added-lane-right--g1,exclude,,Retain legacy scope; no geography claim.
2,warning--playground--g1,exclude,,Retain legacy scope; no geography claim.
3,other-sign,exclude,,Retain legacy scope; no geography claim.
4,regulatory--no-stopping--g15,train,regulatory--no-stopping,Merge only equivalent source meanings and visual variants.
5,regulatory--priority-road--g4,train,regulatory--priority-road,Merge only equivalent source meanings and visual variants.
6,warning--pedestrian-stumble-train--g1,exclude,,Retain legacy scope; no geography claim.
7,regulatory--maximum-speed-limit-45--g3,train,regulatory--maximum-speed-limit-45,Merge only equivalent source meanings and visual variants.
8,regulatory--stop--g1,train,regulatory--stop,Merge only equivalent source meanings and visual variants.
9,warning--railroad-crossing--g1,train,warning--railroad-crossing,Merge only equivalent source meanings and visual variants.
10,information--end-of-built-up-area--g1,train,information--end-of-built-up-area,Merge only equivalent source meanings and visual variants.
11,regulatory--pedestrians-only--g1,train,regulatory--pedestrians-only,Merge only equivalent source meanings and visual variants.
12,regulatory--no-entry--g1,train,regulatory--no-entry,Merge only equivalent source meanings and visual variants.
13,regulatory--one-way-straight--g1,train,regulatory--one-way-straight,Merge only equivalent source meanings and visual variants.
14,complementary--maximum-speed-limit-15--g1,train,complementary--maximum-speed-limit-15,Merge only equivalent source meanings and visual variants.
15,regulatory--keep-right--g4,train,regulatory--keep-right,Merge only equivalent source meanings and visual variants.
16,regulatory--yield--g1,train,regulatory--yield,Merge only equivalent source meanings and visual variants.
17,warning--pedestrians-crossing--g10,train,warning--pedestrians-crossing,Merge only equivalent source meanings and visual variants.
18,regulatory--reversible-lanes--g2,exclude,,Retain legacy scope; no geography claim.
19,regulatory--turn-left--g2,train,regulatory--turn-left,Merge only equivalent source meanings and visual variants.
20,regulatory--no-parking--g2,train,regulatory--no-parking,Merge only equivalent source meanings and visual variants.
21,regulatory--one-way-right--g1,train,regulatory--one-way-right,Merge only equivalent source meanings and visual variants.
22,regulatory--one-way-left--g1,train,regulatory--one-way-left,Merge only equivalent source meanings and visual variants.
23,warning--divided-highway-ends--g1,train,warning--divided-highway-ends,Merge only equivalent source meanings and visual variants.
24,regulatory--maximum-speed-limit-55--g2,train,regulatory--maximum-speed-limit-55,Merge only equivalent source meanings and visual variants.
25,information--pedestrians-crossing--g1,train,information--pedestrians-crossing,Merge only equivalent source meanings and visual variants.
26,regulatory--no-right-turn--g1,train,regulatory--no-right-turn,Merge only equivalent source meanings and visual variants.
27,information--tram-bus-stop--g2,exclude,,Retain legacy scope; no geography claim.
28,regulatory--turn-right-ahead--g1,train,regulatory--turn-right-ahead,Merge only equivalent source meanings and visual variants.
29,regulatory--no-overtaking--g1,train,regulatory--no-overtaking,Merge only equivalent source meanings and visual variants.
30,regulatory--height-limit--g1,train,regulatory--height-limit,Merge only equivalent source meanings and visual variants.
31,warning--domestic-animals--g3,exclude,,Retain legacy scope; no geography claim.
32,warning--traffic-merges-left--g1,train,warning--traffic-merges-left,Merge only equivalent source meanings and visual variants.
33,regulatory--maximum-speed-limit-35--g2,train,regulatory--maximum-speed-limit-35,Merge only equivalent source meanings and visual variants.
